id,name,age,gender,height,weight,nationality,medals,games,biography,price,focus,sport,category
,,,,,,Brazil,,5,,,Swimming,Team
,,,,,,Great Britain,2 G 5 S 5 B,21,,,Athletics,Team
,,,,,,Australia,4 G 2 S 1 B,14,,,Swimming,Team
,,,,,,Canada,,1,,,Rowing,Team
,,,,,,Ukraine,1 G,4,,,Sailing,Team
,,,,,,People's Republic of China,1 G 1 S,2,,,Cycling Track,Team
,,,,,,Italy,,1,,,Sailing,Team
,,,,,,People's Republic of China,1 S 1 B,6,,,Rowing,Team
,,,,,,United States of America,1 B,5,,,Hockey,Team
,,,,,,Republic of Korea,1 S,4,,,Fencing,Team
,,,,,,Denmark,1 S,7,,,Badminton,Team
,,,,,,Russian Federation,1 G 1 B,5,,,Diving,Team
,,,,,,Spain,,1,,,Cycling Track,Team
,,,,,,Brazil,1 S 2 B,7,,,Athletics,Team
,,,,,,Ukraine,,1,,,Gymnastics Rhythmic,Team
,,,,,,Cuba,,1,,,Canoe Sprint,Team
,,,,,,Netherlands,2 S 3 B,8,,,Rowing,Team
,,,,,,Germany,,7,,,Sailing,Team
,,,,,,New Zealand,,10,,,Sailing,Team
,,,,,,New Zealand,,1,,,Canoe Sprint,Team
,,,,,,Japan,,1,,,Rugby,Team
,,,,,,Japan,,1,,,Gymnastics Rhythmic,Team
,,,,,,People's Republic of China,,1,,,Canoe Sprint,Team
,,,,,,Russian Federation,1 G,1,,,Gymnastics Rhythmic,Team
,,,,,,France,,12,,,Swimming,Team
,,,,,,People's Republic of China,3 G 3 S 1 B,9,,,Gymnastics Artistic,Team
,,,,,,Poland,,4,,,Swimming,Team
,,,,,,Japan,2 G 2 S 2 B,12,,,Volleyball,Team
,,,,,,Malaysia,,3,,,Badminton,Team
,,,,,,Brazil,,3,,,Athletics,Team
,,,,,,Lithuania,,1,,,Canoe Sprint,Team
,,,,,,Germany,,6,,,Sailing,Team
,,,,,,Australia,2 G 4 S 2 B,18,,,Swimming,Team
,,,,,,Egypt,,2,,,Table Tennis,Team
,,,,,,France,2 S 5 B,12,,,Tennis,Team
,,,,,,France,1 G,2,,,Equestrian Jumping,Team
,,,,,,Canada,1 S 3 B,5,,,Diving,Team
,,,,,,Serbia,1 S,3,,,Volleyball,Team
,,,,,,United States of America,,4,,,Badminton,Team
,,,,,,People's Republic of China,,1,,,Archery,Team
,,,,,,France,,1,,,Sailing,Team
,,,,,,Uruguay,,1,,,Sailing,Team
,,,,,,Norway,,1,,,Sailing,Team
,,,,,,New Zealand,1 S,2,,,Cycling Track,Team
,,,,,,France,1 B,7,,,Sailing,Team
,,,,,,Italy,7 G 4 S 3 B,19,,,Fencing,Team
,,,,,,Turkey,,5,,,Sailing,Team
,,,,,,People's Republic of China,1 S 1 B,5,,,Beach Volleyball,Team
,,,,,,Serbia,,3,,,Tennis,Team
,,,,,,"Hong Kong, China",,1,,,Rowing,Team
,,,,,,Argentina,1 G 1 B,7,,,Basketball,Team
,,,,,,Great Britain,1 S 1 B,5,,,Diving,Team
,,,,,,People's Republic of China,,11,,,Basketball,Team
,,,,,,Canada,1 B,5,,,Beach Volleyball,Team
,,,,,,Italy,,4,,,Tennis,Team
,,,,,,Belgium,,1,,,Swimming,Team
,,,,,,Thailand,,5,,,Badminton,Team
,,,,,,France,,1,,,Table Tennis,Team
,,,,,,Germany,1 G 1 S,2,,,Equestrian Dressage,Team
,,,,,,Slovakia,,1,,,Canoe Sprint,Team
,,,,,,Hungary,1 G,1,,,Canoe Sprint,Team
,,,,,,Portugal,,2,,,Table Tennis,Team
,,,,,,Argentina,,1,,,Canoe Sprint,Team
,,,,,,Japan,,1,,,Sailing,Team
,,,,,,Germany,1 S,3,,,Table Tennis,Team
